y/delta,y^+,Production,Turbulent_Transport,Viscous_Transport,Pressure_Strain,Pressure_Transport,Viscous_Dissipation,Balance,Re
,,,,,,,,,
0.00000E+00,0.00E+00,0.00E+00,4.79E-14,2.49E-01,0.00E+00,-3.16E-12,2.49E-01,1.10E-06,9.30E+01
4.81E-05,4.47E-03,9.95E-11,1.69E-10,2.49E-01,0.00E+00,1.09E-04,2.49E-01,1.46E-06,9.30E+01
2.41E-04,2.24E-02,1.25E-08,2.11E-08,2.47E-01,0.00E+00,5.40E-04,2.48E-01,4.21E-06,9.30E+01
6.74E-04,6.26E-02,2.74E-07,4.63E-07,2.45E-01,0.00E+00,1.49E-03,2.46E-01,4.33E-06,9.30E+01
1.44E-03,1.34E-01,2.72E-06,4.55E-06,2.40E-01,0.00E+00,3.09E-03,2.43E-01,-9.66E-07,9.30E+01
2.65E-03,2.46E-01,1.69E-05,2.81E-05,2.33E-01,0.00E+00,5.41E-03,2.38E-01,-3.87E-06,9.30E+01
4.38E-03,4.07E-01,7.74E-05,1.27E-04,2.24E-01,0.00E+00,8.36E-03,2.32E-01,-1.84E-06,9.30E+01
6.73E-03,6.25E-01,2.86E-04,4.65E-04,2.13E-01,0.00E+00,1.17E-02,2.26E-01,-2.89E-07,9.30E+01
9.75E-03,9.06E-01,8.86E-04,1.41E-03,2.01E-01,0.00E+00,1.52E-02,2.18E-01,-5.54E-08,9.30E+01
1.34E-02,1.25E+00,2.35E-03,3.64E-03,1.87E-01,0.00E+00,1.82E-02,2.11E-01,1.40E-07,9.30E+01
1.78E-02,1.65E+00,5.50E-03,8.09E-03,1.70E-01,0.00E+00,2.04E-02,2.04E-01,3.81E-07,9.30E+01
2.28E-02,2.12E+00,1.15E-02,1.56E-02,1.47E-01,0.00E+00,2.18E-02,1.96E-01,7.84E-07,9.30E+01
2.85E-02,2.65E+00,2.19E-02,2.64E-02,1.17E-01,0.00E+00,2.22E-02,1.87E-01,1.28E-06,9.30E+01
3.48E-02,3.24E+00,3.82E-02,3.87E-02,7.88E-02,0.00E+00,2.18E-02,1.77E-01,1.84E-06,9.30E+01
4.18E-02,3.88E+00,6.11E-02,4.93E-02,3.62E-02,0.00E+00,2.08E-02,1.67E-01,2.44E-06,9.30E+01
4.94E-02,4.59E+00,9.03E-02,5.42E-02,-5.74E-03,0.00E+00,1.93E-02,1.58E-01,3.11E-06,9.30E+01
5.77E-02,5.36E+00,1.24E-01,5.02E-02,-4.11E-02,0.00E+00,1.75E-02,1.51E-01,3.84E-06,9.30E+01
6.66E-02,6.19E+00,1.59E-01,3.69E-02,-6.57E-02,0.00E+00,1.54E-02,1.46E-01,4.55E-06,9.30E+01
7.61E-02,7.07E+00,1.92E-01,1.66E-02,-7.83E-02,0.00E+00,1.30E-02,1.44E-01,5.20E-06,9.30E+01
8.63E-02,8.02E+00,2.19E-01,-6.66E-03,-8.01E-02,0.00E+00,1.06E-02,1.43E-01,5.77E-06,9.30E+01
9.71E-02,9.02E+00,2.38E-01,-2.87E-02,-7.44E-02,0.00E+00,8.04E-03,1.43E-01,6.22E-06,9.30E+01
1.08E-01,1.01E+01,2.48E-01,-4.64E-02,-6.43E-02,0.00E+00,5.54E-03,1.43E-01,6.39E-06,9.30E+01
1.20E-01,1.12E+01,2.50E-01,-5.81E-02,-5.27E-02,0.00E+00,3.18E-03,1.42E-01,6.44E-06,9.30E+01
1.33E-01,1.24E+01,2.44E-01,-6.37E-02,-4.15E-02,0.00E+00,1.08E-03,1.40E-01,6.65E-06,9.30E+01
1.46E-01,1.36E+01,2.34E-01,-6.42E-02,-3.15E-02,0.00E+00,-6.56E-04,1.38E-01,6.94E-06,9.30E+01
1.60E-01,1.49E+01,2.20E-01,-6.09E-02,-2.32E-02,0.00E+00,-1.99E-03,1.34E-01,6.94E-06,9.30E+01
1.74E-01,1.62E+01,2.05E-01,-5.50E-02,-1.66E-02,0.00E+00,-2.91E-03,1.30E-01,6.56E-06,9.30E+01
1.89E-01,1.76E+01,1.88E-01,-4.79E-02,-1.15E-02,0.00E+00,-3.46E-03,1.25E-01,6.25E-06,9.30E+01
2.04E-01,1.90E+01,1.72E-01,-4.04E-02,-7.70E-03,0.00E+00,-3.68E-03,1.21E-01,6.04E-06,9.30E+01
2.20E-01,2.05E+01,1.57E-01,-3.30E-02,-4.85E-03,0.00E+00,-3.66E-03,1.15E-01,5.54E-06,9.30E+01
2.37E-01,2.20E+01,1.43E-01,-2.62E-02,-2.79E-03,0.00E+00,-3.46E-03,1.10E-01,4.89E-06,9.30E+01
2.54E-01,2.36E+01,1.30E-01,-2.00E-02,-1.33E-03,0.00E+00,-3.17E-03,1.05E-01,4.61E-06,9.30E+01
2.71E-01,2.52E+01,1.18E-01,-1.46E-02,-3.10E-04,0.00E+00,-2.84E-03,1.00E-01,5.01E-06,9.30E+01
2.89E-01,2.69E+01,1.07E-01,-9.99E-03,3.72E-04,0.00E+00,-2.51E-03,9.53E-02,5.85E-06,9.30E+01
3.08E-01,2.86E+01,9.80E-02,-6.05E-03,8.12E-04,0.00E+00,-2.20E-03,9.06E-02,6.15E-06,9.30E+01
3.27E-01,3.03E+01,8.97E-02,-2.76E-03,1.08E-03,0.00E+00,-1.94E-03,8.61E-02,5.70E-06,9.30E+01
3.46E-01,3.21E+01,8.24E-02,-2.73E-05,1.23E-03,0.00E+00,-1.73E-03,8.18E-02,4.44E-06,9.30E+01
3.66E-01,3.40E+01,7.59E-02,2.21E-03,1.29E-03,0.00E+00,-1.57E-03,7.78E-02,2.69E-06,9.30E+01
3.86E-01,3.59E+01,7.02E-02,4.04E-03,1.29E-03,0.00E+00,-1.45E-03,7.41E-02,1.53E-06,9.30E+01
4.07E-01,3.78E+01,6.52E-02,5.52E-03,1.26E-03,0.00E+00,-1.38E-03,7.06E-02,2.25E-06,9.30E+01
4.28E-01,3.97E+01,6.08E-02,6.71E-03,1.20E-03,0.00E+00,-1.34E-03,6.74E-02,4.50E-06,9.30E+01
4.49E-01,4.17E+01,5.70E-02,7.65E-03,1.13E-03,0.00E+00,-1.34E-03,6.44E-02,5.51E-06,9.30E+01
4.71E-01,4.38E+01,5.36E-02,8.39E-03,1.05E-03,0.00E+00,-1.36E-03,6.17E-02,4.06E-06,9.30E+01
4.93E-01,4.58E+01,5.06E-02,8.97E-03,9.70E-04,0.00E+00,-1.39E-03,5.91E-02,2.05E-06,9.30E+01
5.16E-01,4.79E+01,4.80E-02,9.40E-03,8.89E-04,0.00E+00,-1.43E-03,5.68E-02,9.52E-07,9.30E+01
5.39E-01,5.00E+01,4.57E-02,9.73E-03,8.11E-04,0.00E+00,-1.48E-03,5.47E-02,1.39E-06,9.30E+01
5.62E-01,5.22E+01,4.36E-02,9.97E-03,7.40E-04,0.00E+00,-1.54E-03,5.28E-02,2.71E-06,9.30E+01
5.85E-01,5.44E+01,4.19E-02,1.01E-02,6.77E-04,0.00E+00,-1.59E-03,5.11E-02,3.34E-06,9.30E+01
6.09E-01,5.66E+01,4.03E-02,1.02E-02,6.21E-04,0.00E+00,-1.65E-03,4.95E-02,4.10E-06,9.30E+01
6.33E-01,5.88E+01,3.89E-02,1.03E-02,5.72E-04,0.00E+00,-1.71E-03,4.81E-02,3.72E-06,9.30E+01
6.57E-01,6.11E+01,3.76E-02,1.04E-02,5.28E-04,0.00E+00,-1.77E-03,4.68E-02,1.77E-06,9.30E+01
6.82E-01,6.33E+01,3.66E-02,1.04E-02,4.89E-04,0.00E+00,-1.82E-03,4.56E-02,1.27E-06,9.30E+01
7.06E-01,6.56E+01,3.56E-02,1.04E-02,4.55E-04,0.00E+00,-1.87E-03,4.45E-02,1.27E-06,9.30E+01
7.31E-01,6.79E+01,3.47E-02,1.03E-02,4.24E-04,0.00E+00,-1.91E-03,4.36E-02,7.14E-07,9.30E+01
7.56E-01,7.03E+01,3.40E-02,1.03E-02,3.97E-04,0.00E+00,-1.96E-03,4.27E-02,1.58E-06,9.30E+01
7.81E-01,7.26E+01,3.33E-02,1.03E-02,3.75E-04,0.00E+00,-2.00E-03,4.20E-02,2.84E-06,9.30E+01
8.07E-01,7.50E+01,3.28E-02,1.03E-02,3.59E-04,0.00E+00,-2.04E-03,4.14E-02,2.25E-06,9.30E+01
8.32E-01,7.73E+01,3.23E-02,1.02E-02,3.46E-04,0.00E+00,-2.07E-03,4.08E-02,5.08E-07,9.30E+01
8.58E-01,7.97E+01,3.19E-02,1.02E-02,3.35E-04,0.00E+00,-2.10E-03,4.04E-02,3.88E-07,9.30E+01
8.84E-01,8.21E+01,3.16E-02,1.02E-02,3.26E-04,0.00E+00,-2.13E-03,4.00E-02,5.47E-07,9.30E+01
9.09E-01,8.45E+01,3.13E-02,1.02E-02,3.20E-04,0.00E+00,-2.15E-03,3.97E-02,7.90E-08,9.30E+01
9.35E-01,8.69E+01,3.11E-02,1.02E-02,3.16E-04,0.00E+00,-2.16E-03,3.94E-02,1.37E-07,9.30E+01
9.61E-01,8.93E+01,3.10E-02,1.02E-02,3.11E-04,0.00E+00,-2.17E-03,3.93E-02,1.27E-06,9.30E+01
9.87E-01,9.17E+01,3.09E-02,1.02E-02,3.08E-04,0.00E+00,-2.18E-03,3.92E-02,2.88E-06,9.30E+01
